Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Houston, TX",August 2019,All Residential,Place/City,False,TX,0.970909895,-0.2%,0.0%,3031,-3.3%,-2.5%,11085,-1.9%,4.5%,35,5,5,$231K,0.2%,6.0%,3706,-9.0%,-5.6%
"League City, TX",February 2020,All Residential,Place/City,False,TX,0.987087025,0.8%,0.8%,113,5.6%,-18.1%,352,4.8%,-22.6%,59,3,13,$277K,1.8%,-0.9%,187,20.6%,-1.6%
"Houston, TX",May 2020,All Residential,Place/City,False,TX,0.972054792,-0.2%,-0.4%,2093,2.6%,-35.3%,9704,-3.0%,-10.6%,40,4,8,$228K,-3.8%,-5.0%,3648,29.8%,-20.6%
"Texas City, TX",January 2012,All Residential,Place/City,False,TX,0.944157392,-0.8%,2.9%,18,1700.0%,1700.0%,221,1.4%,25.6%,72,66,47,$75K,26.5%,101.4%,48,65.5%,108.7%
"Galveston, TX",June 2012,All Residential,Place/City,False,TX,0.933597731,-0.3%,-3.2%,92,-5.2%,4500.0%,590,-5.3%,10.1%,89,12,46,$156K,12.3%,11.4%,110,-15.4%,34.1%
"Galveston, TX",January 2013,All Residential,Place/City,False,TX,0.930368353,-0.8%,0.5%,54,-22.9%,54.3%,558,6.1%,0.7%,117,20,10,$130K,-18.4%,21.3%,144,77.8%,12.5%
"Pasadena, TX",September 2013,All Residential,Place/City,False,TX,0.969273536,-0.3%,-1.2%,80,-16.7%,40.4%,300,5.3%,-16.4%,54,0,-11,$111K,2.6%,-1.1%,97,-10.2%,18.3%
"Texas City, TX",May 2016,All Residential,Place/City,False,TX,0.995338252,5.6%,0.7%,53,-1.9%,29.3%,92,-17.1%,-34.8%,22,-10,6,$135K,24.1%,3.1%,56,-22.2%,1.8%
"Houston, TX",May 2016,All Residential,Place/City,False,TX,0.973531478,0.2%,-0.7%,2784,11.4%,4.7%,9260,2.6%,26.2%,28,0,8,$214K,4.1%,5.2%,3800,4.0%,3.8%
"Sugar Land, TX",July 2016,All Residential,Place/City,False,TX,0.975827473,-0.5%,-0.2%,212,4.4%,-11.3%,733,6.1%,20.2%,28,0,10,$364K,18.1%,15.5%,294,-6.4%,-12.5%
"Sugar Land, TX",April 2017,All Residential,Place/City,False,TX,0.973833691,0.5%,0.3%,176,9.3%,-0.6%,680,16.0%,14.9%,30,8,-4,$320K,-0.1%,1.4%,324,9.5%,24.1%
"League City, TX",July 2017,All Residential,Place/City,False,TX,0.986328694,0.4%,-0.4%,193,-16.8%,-4.0%,489,10.6%,21.3%,17,-6,4,$265K,4.7%,8.8%,274,0.0%,21.2%
"Houston, TX",May 2019,All Residential,Place/City,False,TX,0.975959247,0.3%,0.3%,3236,14.0%,2.6%,10851,4.7%,10.5%,32,-3,7,$240K,4.3%,7.6%,4597,4.8%,1.5%
"Texas City, TX",August 2019,All Residential,Place/City,False,TX,0.969224906,-0.6%,-0.8%,66,20.0%,-13.2%,244,3.8%,6.1%,49,21,14,$179K,-4.3%,1.2%,99,11.2%,13.8%
"League City, TX",January 2020,All Residential,Place/City,False,TX,0.978963753,0.2%,0.1%,107,-32.7%,18.9%,336,-2.0%,-27.9%,56,5,2,$272K,0.7%,5.4%,155,112.3%,-19.3%
"League City, TX",January 2012,All Residential,Place/City,False,TX,0.954931057,,-1.1%,70,,6900.0%,606,,34.1%,105,,24,$177K,,-11.5%,133,,64.2%
"Texas City, TX",March 2012,All Residential,Place/City,False,TX,0.984261234,4.5%,-14.4%,28,75.0%,1300.0%,215,-2.7%,28.0%,67,-47,-37,$76K,3.6%,169.6%,51,2.0%,96.2%
"League City, TX",December 2012,All Residential,Place/City,False,TX,0.957797402,-1.5%,,115,-1.7%,,482,-8.0%,,81,10,,$188K,-2.1%,,98,-25.2%,
"League City, TX",March 2013,All Residential,Place/City,False,TX,0.969883416,0.5%,0.5%,164,50.5%,17.1%,480,0.8%,-19.1%,62,-8,-42,$186K,-7.9%,5.9%,210,8.8%,3.4%
"Sugar Land, TX",October 2013,All Residential,Place/City,False,TX,0.972542088,0.1%,0.7%,177,-1.1%,8.6%,368,-0.3%,-30.6%,23,0,-24,$260K,-8.8%,11.6%,229,23.1%,18.7%
"Houston, TX",November 2013,All Residential,Place/City,False,TX,0.975453773,0.0%,0.9%,2190,-15.3%,1.5%,6684,-5.2%,-15.3%,32,0,-21,$170K,4.3%,10.7%,2336,-19.4%,2.5%
"Missouri City, TX",December 2013,All Residential,Place/City,False,TX,0.969161504,-0.6%,1.2%,116,0.9%,-14.7%,349,-3.1%,-19.6%,39,-8,-51,$229K,8.4%,21.2%,108,-11.5%,0.0%
"League City, TX",January 2014,All Residential,Place/City,False,TX,0.977927289,0.6%,0.6%,103,-39.4%,18.4%,401,-6.7%,-15.8%,63,2,4,$203K,6.8%,18.7%,146,37.7%,-5.8%
"Pasadena, TX",September 2014,All Residential,Place/City,False,TX,0.965734280,-0.8%,-0.4%,81,-19.0%,1.3%,208,-7.1%,-30.7%,22,3,-32,$120K,-6.6%,8.4%,85,-8.6%,-12.4%
"Friendswood, TX",July 2015,All Residential,Place/City,False,TX,0.991123217,0.4%,1.5%,86,2.4%,-3.4%,155,17.4%,-7.2%,14,7,4,$227K,0.4%,-3.9%,103,3.0%,15.7%
"Missouri City, TX",December 2015,All Residential,Place/City,False,TX,0.973100756,0.7%,0.1%,144,44.0%,2.9%,325,-10.5%,18.6%,38,2,6,$242K,7.3%,-1.4%,98,-16.2%,-9.3%
"Friendswood, TX",November 2016,All Residential,Place/City,False,TX,0.963942348,-1.7%,-2.0%,67,21.8%,55.8%,171,-3.4%,18.8%,57,36,35,$320K,39.7%,60.0%,60,5.3%,36.4%
"La Porte, TX",September 2017,All Residential,Place/City,False,TX,0.967186817,-0.3%,-2.0%,41,13.9%,-8.9%,71,-13.4%,0.0%,19,6,3,$160K,-10.6%,8.8%,28,-15.2%,-46.2%
"Missouri City, TX",January 2018,All Residential,Place/City,False,TX,0.958151129,-1.0%,-1.1%,90,-38.8%,2.3%,441,-5.8%,0.5%,51,-29,9,$230K,-5.3%,-3.3%,122,13.0%,-18.7%
"Galveston, TX",April 2018,All Residential,Place/City,False,TX,0.960145876,1.3%,0.5%,144,24.1%,24.1%,615,3.5%,-2.5%,41,-42,-7,$240K,4.4%,29.1%,206,-7.6%,21.9%
"Houston, TX",October 2018,All Residential,Place/City,False,TX,0.969139505,-0.1%,0.1%,2551,5.2%,4.1%,10322,-1.8%,9.9%,40,6,-8,$214K,-0.5%,2.9%,3344,4.7%,4.6%
"La Porte, TX",August 2014,All Residential,Place/City,False,TX,0.985301890,0.1%,1.6%,61,41.9%,79.4%,125,14.7%,-17.8%,24,11,-9,$135K,-2.8%,6.3%,67,3.1%,36.7%
"Houston, TX",February 2015,All Residential,Place/City,False,TX,0.975888777,-0.2%,0.1%,1840,13.7%,-12.2%,6838,4.1%,17.8%,27,-6,-9,$177K,4.2%,4.1%,3164,-1.4%,12.5%
"League City, TX",June 2015,All Residential,Place/City,False,TX,0.986696442,0.1%,0.5%,199,9.9%,-6.6%,398,-0.5%,-2.2%,25,2,6,$238K,1.3%,10.7%,227,-9.2%,18.2%
"Baytown, TX",October 2015,All Residential,Place/City,False,TX,0.971254788,-0.8%,-1.1%,78,-21.2%,-25.7%,297,-0.3%,2.8%,37,18,0,$155K,5.1%,6.9%,113,6.6%,3.7%
"League City, TX",June 2016,All Residential,Place/City,False,TX,0.989606105,0.3%,0.3%,218,-3.5%,9.5%,404,13.5%,1.5%,27,12,2,$245K,1.7%,2.9%,267,25.4%,17.6%
"Houston, TX",January 2017,All Residential,Place/City,False,TX,0.963744870,-0.4%,-0.1%,1740,-35.6%,4.6%,8179,1.5%,0.8%,49,4,4,$187K,-13.0%,1.1%,3304,68.3%,8.4%
"League City, TX",September 2017,All Residential,Place/City,False,TX,0.978844904,-0.5%,-0.7%,184,15.7%,14.3%,460,-11.0%,2.2%,31,6,12,$259K,-4.8%,8.4%,157,-23.4%,-24.5%
"Galveston, TX",September 2017,All Residential,Place/City,False,TX,0.952670865,0.1%,0.2%,136,32.0%,29.5%,583,-4.0%,-4.7%,66,19,5,$238K,13.1%,8.8%,116,-12.1%,-23.2%
"Friendswood, TX",November 2017,All Residential,Place/City,False,TX,0.971235339,-0.4%,0.7%,70,-1.4%,4.5%,179,5.9%,4.7%,58,19,1,$245K,-9.3%,-23.4%,70,-7.9%,16.7%
"Houston, TX",February 2019,All Residential,Place/City,False,TX,0.968506849,0.3%,0.3%,2011,27.4%,-4.4%,9646,1.8%,16.4%,50,-1,1,$210K,5.0%,-2.3%,3371,1.0%,4.2%
"Missouri City, TX",October 2019,All Residential,Place/City,False,TX,0.970452998,-0.3%,-0.6%,174,18.4%,25.2%,572,-2.4%,-6.2%,50,0,14,$226K,-8.9%,-1.7%,185,5.1%,1.1%
"Baytown, TX",March 2020,All Residential,Place/City,False,TX,0.982347509,0.8%,-0.1%,132,38.9%,24.5%,365,19.3%,34.7%,55,-2,27,$208K,4.0%,4.1%,176,37.5%,36.4%
"Baytown, TX",January 2013,All Residential,Place/City,False,TX,0.968682379,0.9%,-0.8%,58,-6.5%,26.1%,358,-6.0%,-9.8%,93,-9,9,$121K,2.9%,12.9%,82,34.4%,-7.9%
"League City, TX",November 2013,All Residential,Place/City,False,TX,0.976638022,0.1%,0.4%,141,-16.6%,20.5%,459,-6.9%,-12.4%,50,7,-21,$197K,2.7%,2.3%,135,-25.4%,3.1%
"League City, TX",November 2014,All Residential,Place/City,False,TX,0.980060611,0.3%,0.3%,152,-6.7%,7.8%,396,-8.1%,-13.7%,46,10,-4,$210K,3.3%,6.7%,136,-21.8%,0.7%
"Galveston, TX",March 2015,All Residential,Place/City,False,TX,0.959131170,0.2%,0.0%,90,11.1%,9.8%,592,3.1%,-9.1%,44,-50,-47,$173K,2.4%,-7.7%,180,19.2%,-5.3%
"League City, TX",July 2015,All Residential,Place/City,False,TX,0.987127586,0.0%,0.5%,232,16.6%,22.8%,417,4.8%,-7.3%,16,-9,-5,$233K,-2.3%,8.1%,255,12.3%,-5.9%
"Galveston, TX",April 2016,All Residential,Place/City,False,TX,0.953908951,1.0%,-0.4%,118,5.4%,0.0%,612,3.7%,3.2%,39,-20,-44,$199K,13.0%,23.1%,170,-24.4%,11.1%
"Galveston, TX",August 2016,All Residential,Place/City,False,TX,0.957956176,0.6%,1.2%,119,-10.5%,5.3%,613,-6.0%,-2.9%,47,-8,-18,$189K,17.8%,9.1%,146,-12.0%,-38.1%
"Pasadena, TX",June 2020,All Residential,Place/City,False,TX,0.982641373,1.0%,0.5%,108,40.3%,31.7%,163,-14.2%,-18.5%,34,2,15,$181K,-9.7%,3.3%,103,-1.9%,-13.4%
"Baytown, TX",July 2020,All Residential,Place/City,False,TX,0.986835350,0.9%,0.7%,159,31.4%,29.3%,328,-0.3%,0.3%,23,-17,2,$210K,-2.8%,6.6%,196,21.0%,31.5%
"Houston, TX",January 2012,All Residential,Place/City,False,TX,0.958463155,-0.1%,0.8%,1321,-32.8%,1.6%,10113,-0.6%,-23.0%,81,3,-5,$120K,-19.9%,-2.4%,2835,51.4%,-6.2%
"Baytown, TX",June 2012,All Residential,Place/City,False,TX,0.967821864,-0.6%,1.1%,94,32.4%,16.0%,454,6.3%,-19.9%,57,-3,-24,$120K,-4.2%,21.1%,141,16.5%,10.2%
"Texas City, TX",June 2012,All Residential,Place/City,False,TX,0.889937715,-6.0%,,30,0.0%,,234,7.3%,,65,4,,$58K,-31.3%,,65,51.2%,
"Houston, TX",March 2013,All Residential,Place/City,False,TX,0.973322569,0.7%,1.1%,2553,33.0%,18.2%,6819,-1.9%,-32.3%,39,-13,-31,$162K,1.7%,4.5%,3403,12.2%,-3.0%
"Texas City, TX",July 2013,All Residential,Place/City,False,TX,0.944035898,-0.7%,-0.4%,35,20.7%,12.9%,214,1.9%,-5.3%,52,2,-36,$84K,-18.4%,-7.4%,53,15.2%,3.9%
"Missouri City, TX",September 2013,All Residential,Place/City,False,TX,0.972725783,-0.1%,-0.1%,128,-37.3%,26.7%,390,-1.5%,-27.4%,42,8,-11,$214K,3.6%,25.9%,135,-5.6%,7.1%
"Houston, TX",October 2013,All Residential,Place/City,False,TX,0.974978467,-0.4%,0.9%,2587,2.7%,13.0%,7051,-2.8%,-15.1%,32,4,-21,$163K,-4.7%,5.3%,2900,-2.5%,10.5%
"Sugar Land, TX",December 2013,All Residential,Place/City,False,TX,0.975956038,1.0%,2.8%,200,28.2%,0.0%,300,-13.3%,-20.6%,35,7,-36,$308K,8.4%,8.8%,124,-21.0%,29.2%
"Sugar Land, TX",January 2014,All Residential,Place/City,False,TX,0.975288352,-0.1%,1.8%,110,-45.0%,-0.9%,300,0.0%,-23.7%,29,-6,-53,$297K,-3.6%,27.3%,173,39.5%,-10.8%
"Galveston, TX",January 2014,All Residential,Place/City,False,TX,0.939536116,-0.7%,0.9%,47,-24.2%,-13.0%,562,1.6%,0.7%,113,28,-4,$189K,-3.1%,45.7%,131,70.1%,-9.0%
"Friendswood, TX",April 2014,All Residential,Place/City,False,TX,0.977668957,-0.5%,0.7%,73,37.7%,-1.4%,158,-3.1%,-30.7%,21,-11,-33,$230K,27.8%,18.9%,103,19.8%,3.0%
"League City, TX",July 2014,All Residential,Place/City,False,TX,0.982358332,0.0%,0.7%,189,-11.3%,-21.6%,450,10.6%,-9.8%,21,2,-8,$215K,0.0%,9.2%,271,41.1%,11.1%
"Galveston, TX",October 2014,All Residential,Place/City,False,TX,0.966320652,0.8%,1.1%,90,-9.1%,21.6%,564,-7.2%,-6.9%,72,-15,9,$169K,-7.5%,-0.4%,103,-23.1%,-18.3%
"Missouri City, TX",March 2015,All Residential,Place/City,False,TX,0.975718198,-1.1%,0.2%,137,30.5%,0.7%,288,-2.0%,-18.6%,21,-15,-5,$226K,6.9%,4.4%,174,27.9%,-5.4%
"Pasadena, TX",June 2015,All Residential,Place/City,False,TX,0.989843245,1.6%,1.7%,89,-6.3%,-11.0%,184,10.2%,-20.3%,16,-4,-12,$138K,-0.4%,8.1%,121,21.0%,4.3%
"League City, TX",November 2015,All Residential,Place/City,False,TX,0.977308320,-0.2%,-0.3%,109,-31.4%,-28.3%,372,-6.1%,-6.1%,22,-4,-24,$229K,-4.6%,9.2%,133,-21.3%,-2.2%
"Friendswood, TX",January 2016,All Residential,Place/City,False,TX,0.976414160,0.7%,0.9%,43,-15.7%,-6.5%,135,0.7%,27.4%,36,5,7,$269K,24.2%,53.8%,70,40.0%,14.8%
"Missouri City, TX",August 2016,All Residential,Place/City,False,TX,0.970639614,-0.2%,-0.5%,156,24.8%,-6.6%,524,1.9%,28.7%,32,15,8,$246K,5.5%,2.9%,190,-18.8%,-1.6%
"Houston, TX",October 2016,All Residential,Place/City,False,TX,0.970717898,-0.1%,-0.1%,2334,-7.1%,-0.1%,9296,-2.4%,6.8%,40,7,7,$205K,-0.2%,10.8%,3090,-3.4%,-3.3%
"Houston, TX",July 2017,All Residential,Place/City,False,TX,0.974270477,0.1%,0.0%,2706,-13.8%,-0.5%,10970,4.7%,13.0%,28,1,-1,$210K,-6.7%,-2.3%,4011,-3.6%,6.3%
"Galveston, TX",May 2018,All Residential,Place/City,False,TX,0.952212581,-0.8%,0.7%,141,-2.1%,-7.8%,625,1.6%,-5.4%,41,0,-21,$195K,-18.6%,-17.0%,188,-8.7%,-7.8%
"Friendswood, TX",August 2018,All Residential,Place/City,False,TX,0.973461911,-0.1%,-0.6%,73,-17.0%,4.3%,275,3.4%,27.9%,25,10,6,$285K,4.0%,-7.3%,108,-10.7%,35.0%
"Galveston, TX",September 2018,All Residential,Place/City,False,TX,0.956499481,0.6%,0.4%,115,-7.3%,-15.4%,586,-3.9%,0.5%,47,-10,-19,$218K,-0.9%,-8.4%,111,-27.0%,-4.3%
"Friendswood, TX",October 2018,All Residential,Place/City,False,TX,0.964732061,-1.7%,-1.0%,74,-7.5%,4.2%,268,1.1%,58.6%,41,6,2,$254K,-1.3%,-5.9%,79,16.2%,3.9%
"Texas City, TX",December 2018,All Residential,Place/City,False,TX,0.963604009,-2.1%,-0.6%,75,29.3%,15.4%,230,-2.5%,28.5%,43,8,-8,$175K,-0.4%,-2.7%,55,-24.7%,-3.5%
"Friendswood, TX",June 2019,All Residential,Place/City,False,TX,0.984701419,0.2%,0.8%,96,-8.6%,-19.3%,214,-0.9%,-12.3%,23,-1,9,$297K,-8.1%,6.0%,105,-6.3%,-25.0%
"Houston, TX",June 2019,All Residential,Place/City,False,TX,0.976253706,0.0%,0.3%,3004,-7.2%,-6.7%,11137,2.6%,8.8%,28,-4,1,$243K,1.3%,6.6%,4109,-10.6%,-1.6%
"Missouri City, TX",June 2019,All Residential,Place/City,False,TX,0.978239820,0.1%,-0.1%,148,-22.1%,-2.6%,667,1.5%,12.9%,42,5,14,$256K,3.6%,1.8%,237,-9.9%,0.9%
"Pasadena, TX",July 2019,All Residential,Place/City,False,TX,0.979865729,0.2%,-0.1%,124,51.2%,30.5%,207,3.5%,10.1%,15,-4,1,$172K,-1.9%,-2.6%,120,0.8%,13.2%
"Galveston, TX",July 2019,All Residential,Place/City,False,TX,0.963189671,0.9%,0.6%,141,6.0%,21.6%,611,-0.7%,-3.5%,53,-1,-14,$280K,23.9%,14.3%,176,-2.2%,8.6%
"Baytown, TX",August 2019,All Residential,Place/City,False,TX,0.976980369,-0.3%,0.1%,122,-0.8%,-3.2%,333,1.8%,-1.5%,30,9,-2,$197K,0.0%,1.3%,155,4.0%,11.5%
"Friendswood, TX",September 2019,All Residential,Place/City,False,TX,0.973906626,-0.1%,-0.8%,79,-16.8%,-1.3%,176,-4.3%,-33.6%,46,18,11,$306K,13.3%,18.9%,65,-8.5%,-4.4%
"Galveston, TX",February 2020,All Residential,Place/City,False,TX,0.951477343,-0.2%,1.3%,107,37.2%,20.2%,570,3.6%,0.5%,62,-7,-21,$270K,17.4%,28.0%,175,-3.3%,-5.9%
"Pasadena, TX",May 2020,All Residential,Place/City,False,TX,0.972775846,-0.2%,-1.5%,77,22.2%,-21.4%,190,-8.7%,-9.1%,32,13,8,$200K,9.8%,14.4%,105,26.5%,-18.6%
"League City, TX",July 2020,All Residential,Place/City,False,TX,0.989793810,0.4%,0.6%,241,1.3%,9.0%,325,-3.0%,-37.1%,15,-3,-11,$300K,1.7%,5.3%,250,13.1%,-13.5%
"Sugar Land, TX",August 2020,All Residential,Place/City,False,TX,0.970508430,-0.5%,0.7%,207,-20.1%,2.0%,478,-15.4%,-42.8%,43,6,-7,$322K,-3.1%,2.9%,201,-26.4%,-10.7%
"Houston, TX",April 2012,All Residential,Place/City,False,TX,0.968101524,0.6%,1.2%,2252,4.3%,6.3%,10065,-0.1%,-25.6%,54,-16,-17,$151K,-2.4%,10.2%,3434,-2.1%,-4.7%
"Missouri City, TX",August 2014,All Residential,Place/City,False,TX,0.978173142,-0.5%,0.4%,176,8.0%,-13.7%,377,-2.3%,-4.8%,23,1,-11,$250K,2.0%,21.1%,170,-11.5%,18.9%
"Missouri City, TX",February 2015,All Residential,Place/City,False,TX,0.986745618,0.8%,1.8%,105,10.5%,20.7%,294,0.3%,-23.2%,36,-6,-25,$212K,-5.6%,18.2%,136,-16.6%,-26.1%
"Houston, TX",March 2015,All Residential,Place/City,False,TX,0.977386723,0.1%,-0.3%,2393,30.1%,-5.6%,6919,1.2%,21.4%,23,-4,-3,$194K,9.3%,8.4%,3462,9.4%,5.7%
"Galveston, TX",December 2016,All Residential,Place/City,False,TX,0.958465681,0.2%,1.0%,85,25.0%,6.3%,536,-9.6%,9.8%,56,-6,-10,$200K,-16.1%,15.4%,69,-38.4%,-16.9%
"Friendswood, TX",July 2018,All Residential,Place/City,False,TX,0.974091624,-0.3%,-0.8%,88,-26.1%,14.3%,266,9.0%,15.7%,15,1,-9,$274K,-2.1%,-17.0%,121,-13.6%,17.5%
"Baytown, TX",January 2020,All Residential,Place/City,False,TX,0.950599631,-3.1%,-0.7%,73,-33.0%,1.4%,339,8.3%,12.6%,61,16,8,$186K,-8.9%,13.5%,148,78.3%,20.3%
"Sugar Land, TX",April 2020,All Residential,Place/City,False,TX,0.965006737,0.1%,-0.6%,125,-20.4%,-25.1%,642,1.6%,-15.7%,46,-44,5,$330K,4.8%,6.5%,169,-31.3%,-41.5%
"Houston, TX",June 2014,All Residential,Place/City,False,TX,0.985627648,-0.1%,0.3%,2974,1.0%,4.5%,6182,3.6%,-12.4%,17,-2,-5,$200K,5.3%,11.1%,3614,-7.0%,-1.6%
"Pasadena, TX",June 2014,All Residential,Place/City,False,TX,0.973144149,-0.1%,-0.3%,100,9.9%,7.5%,231,6.0%,-20.3%,28,-28,-13,$127K,2.6%,14.6%,116,0.0%,18.4%
"Houston, TX",October 2014,All Residential,Place/City,False,TX,0.977230820,-0.3%,0.2%,2726,2.7%,5.4%,6459,-1.3%,-8.4%,26,3,-6,$182K,1.2%,11.7%,3088,5.9%,6.5%
"Sugar Land, TX",July 2015,All Residential,Place/City,False,TX,0.977618866,0.1%,-0.7%,239,-2.0%,11.7%,610,11.1%,45.6%,18,3,5,$315K,-4.3%,-1.4%,336,3.4%,22.6%
"Texas City, TX",September 2015,All Residential,Place/City,False,TX,0.967254176,1.6%,0.4%,44,2.3%,-6.4%,126,-11.3%,-23.6%,44,20,-2,$122K,4.2%,1.6%,43,-27.1%,-17.3%
"Baytown, TX",January 2016,All Residential,Place/City,False,TX,0.966820235,-0.2%,-0.7%,82,-4.7%,9.3%,266,3.5%,7.3%,73,40,31,$149K,-3.7%,14.7%,106,34.2%,6.0%
"Galveston, TX",January 2016,All Residential,Place/City,False,TX,0.936244850,-1.3%,-2.1%,60,-25.0%,20.0%,496,1.6%,-7.8%,90,24,4,$176K,1.4%,1.3%,140,68.7%,-4.1%
"Galveston, TX",March 2016,All Residential,Place/City,False,TX,0.944222310,-1.3%,-1.5%,112,93.1%,24.4%,590,9.5%,-0.3%,59,0,15,$176K,5.0%,1.9%,225,26.4%,25.0%
"League City, TX",August 2016,All Residential,Place/City,False,TX,0.989457037,0.0%,0.7%,228,13.4%,12.3%,432,7.2%,6.7%,18,5,2,$241K,-1.1%,3.8%,227,0.4%,11.3%
"League City, TX",September 2016,All Residential,Place/City,False,TX,0.985624529,-0.4%,0.7%,161,-29.4%,-21.5%,450,4.2%,15.7%,19,1,-8,$239K,-0.8%,1.7%,208,-8.4%,4.5%
"Missouri City, TX",December 2016,All Residential,Place/City,False,TX,0.977191948,0.5%,0.4%,141,35.6%,-2.1%,436,-6.0%,34.2%,54,9,16,$240K,-4.6%,-0.6%,111,-10.5%,13.3%
"Sugar Land, TX",August 2017,All Residential,Place/City,False,TX,0.970449542,-0.2%,-0.4%,161,-20.7%,-22.6%,868,-3.3%,22.8%,29,-2,1,$310K,-11.7%,1.5%,210,-30.7%,-3.7%
"Sugar Land, TX",November 2017,All Residential,Place/City,False,TX,0.958052069,-1.0%,-1.0%,164,7.9%,20.6%,723,-4.2%,25.5%,74,29,20,$322K,3.7%,15.1%,157,-22.3%,12.9%
"Galveston, TX",December 2017,All Residential,Place/City,False,TX,0.949602727,-1.0%,-0.9%,110,22.2%,29.4%,526,-1.5%,-1.9%,75,7,19,$187K,2.0%,-6.5%,112,-0.9%,62.3%
"Galveston, TX",February 2019,All Residential,Place/City,False,TX,0.938658508,-2.8%,-2.1%,89,29.0%,-7.3%,567,9.2%,-0.4%,83,12,16,$211K,0.0%,-4.0%,186,22.4%,10.7%
"Pasadena, TX",April 2019,All Residential,Place/City,False,TX,0.974644275,-0.3%,0.0%,93,-2.1%,0.0%,180,-2.7%,32.4%,33,3,24,$164K,3.5%,2.5%,118,22.9%,7.3%
"Pasadena, TX",May 2019,All Residential,Place/City,False,TX,0.987382280,1.3%,0.1%,98,5.4%,7.7%,209,16.1%,43.2%,24,-9,15,$175K,6.6%,5.9%,129,9.3%,9.3%
"Galveston, TX",May 2019,All Residential,Place/City,False,TX,0.959982189,0.1%,0.8%,153,7.7%,8.5%,609,-3.0%,-2.6%,46,2,5,$221K,-11.7%,13.2%,181,-10.0%,-3.7%
"League City, TX",September 2019,All Residential,Place/City,False,TX,0.980650070,0.0%,0.8%,165,-29.2%,0.0%,474,-3.9%,-11.1%,33,2,6,$280K,2.4%,5.7%,176,-15.0%,16.6%
"La Porte, TX",January 2020,All Residential,Place/City,False,TX,0.984108085,0.8%,2.2%,37,-15.9%,105.6%,115,-11.5%,45.6%,32,3,0,$190K,-4.8%,12.6%,40,-13.0%,-20.0%
"Pasadena, TX",January 2020,All Residential,Place/City,False,TX,0.970783800,-0.9%,0.0%,61,-35.8%,3.4%,196,-2.0%,-7.5%,40,9,0,$169K,-10.6%,7.6%,84,6.3%,-12.5%
"Missouri City, TX",June 2020,All Residential,Place/City,False,TX,0.977178486,-0.5%,-0.1%,204,59.4%,37.8%,379,-8.9%,-43.2%,56,18,14,$278K,4.9%,8.6%,204,14.0%,-13.9%
"Pasadena, TX",August 2020,All Residential,Place/City,False,TX,0.982011195,-0.3%,1.9%,103,-5.5%,-4.6%,133,-8.9%,-37.6%,19,-5,2,$200K,5.3%,19.0%,105,0.0%,-22.8%
"Sugar Land, TX",January 2012,All Residential,Place/City,False,TX,0.957348681,0.9%,0.5%,91,-28.3%,7.1%,557,-3.1%,-25.7%,79,-6,-4,$221K,-13.3%,-3.9%,144,46.9%,-30.1%
"Houston, TX",April 2013,All Residential,Place/City,False,TX,0.976911518,0.4%,0.9%,2816,10.3%,25.0%,6827,0.1%,-32.2%,27,-12,-27,$180K,11.3%,19.2%,3681,8.2%,7.2%
"Galveston, TX",July 2015,All Residential,Place/City,False,TX,0.948179792,-1.7%,-0.1%,117,-7.9%,-4.9%,563,0.9%,-9.5%,72,7,-13,$168K,6.1%,0.5%,151,10.2%,-4.4%
"Missouri City, TX",October 2015,All Residential,Place/City,False,TX,0.974682949,-0.2%,0.8%,125,-3.8%,-18.8%,391,-1.3%,15.3%,33,7,1,$230K,-9.8%,6.7%,165,18.7%,17.9%
"League City, TX",April 2017,All Residential,Place/City,False,TX,0.984473125,0.1%,-0.2%,153,-11.6%,-10.5%,401,8.4%,7.8%,20,-17,3,$263K,3.1%,9.6%,236,2.6%,1.7%
"La Porte, TX",December 2013,All Residential,Place/City,False,TX,0.982003192,1.0%,2.5%,34,41.7%,-10.5%,132,-7.0%,6.5%,43,-19,-45,$131K,5.7%,16.6%,27,-18.2%,-10.0%
"Houston, TX",May 2014,All Residential,Place/City,False,TX,0.986649593,0.4%,0.7%,2945,12.2%,-3.6%,5969,4.6%,-13.7%,19,-4,-6,$190K,2.7%,10.1%,3884,5.6%,3.0%
"Pasadena, TX",May 2014,All Residential,Place/City,False,TX,0.974158011,-0.7%,0.3%,91,-11.7%,5.8%,218,6.9%,-26.6%,56,22,-5,$124K,3.4%,-3.3%,116,28.9%,-11.5%
"Missouri City, TX",June 2014,All Residential,Place/City,False,TX,0.982949437,0.7%,0.0%,177,9.3%,-4.3%,380,8.9%,-13.2%,19,-13,-12,$250K,6.0%,14.2%,213,-1.4%,13.3%
"Baytown, TX",October 2014,All Residential,Place/City,False,TX,0.982441206,0.5%,1.7%,105,9.4%,47.9%,289,-8.8%,-21.0%,37,2,-34,$145K,-3.3%,11.6%,109,-6.8%,-0.9%
"Friendswood, TX",November 2014,All Residential,Place/City,False,TX,0.959512713,-1.3%,-2.3%,53,-29.3%,6.0%,130,-5.8%,-23.5%,51,20,6,$262K,26.6%,50.4%,57,-5.0%,5.6%
